Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=4.14s)
creating index...
index created!
loading annotations into memory...
Done (t=0.69s)
creating index...
index created!
Resuming training, loading yolact_data/weights/yolact_plus_base_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for maskiou_net.maskiou_net.10.weight: copying a param with shape torch.Size([80, 128, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 128, 1, 1]).
	size mismatch for maskiou_net.maskiou_net.10.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1]).
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([729, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([18, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([729]) from checkpoint, the shape in current model is torch.Size([18]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]     330 || B: 0.534 | C: 1.544 | M: 0.411 | S: 0.102 | I: 0.053 | T: 2.644 || ETA: 0:24:44 || timer: 0.406
[  0]     340 || B: 0.528 | C: 1.531 | M: 0.396 | S: 0.102 | I: 0.050 | T: 2.608 || ETA: 0:24:41 || timer: 0.409
[  0]     350 || B: 0.506 | C: 1.502 | M: 0.396 | S: 0.101 | I: 0.048 | T: 2.553 || ETA: 0:24:37 || timer: 0.405
[  0]     360 || B: 0.508 | C: 1.490 | M: 0.402 | S: 0.099 | I: 0.048 | T: 2.546 || ETA: 0:24:33 || timer: 0.405
[  0]     370 || B: 0.493 | C: 1.468 | M: 0.396 | S: 0.098 | I: 0.048 | T: 2.503 || ETA: 0:24:29 || timer: 0.404
[  0]     380 || B: 0.497 | C: 1.442 | M: 0.390 | S: 0.097 | I: 0.048 | T: 2.474 || ETA: 0:24:26 || timer: 0.404
[  0]     390 || B: 0.481 | C: 1.405 | M: 0.391 | S: 0.093 | I: 0.047 | T: 2.417 || ETA: 0:24:22 || timer: 0.408
[  0]     400 || B: 0.483 | C: 1.400 | M: 0.386 | S: 0.091 | I: 0.047 | T: 2.407 || ETA: 0:24:18 || timer: 0.406
[  0]     410 || B: 0.489 | C: 1.377 | M: 0.388 | S: 0.091 | I: 0.041 | T: 2.385 || ETA: 0:24:14 || timer: 0.403
[  0]     420 || B: 0.501 | C: 1.360 | M: 0.398 | S: 0.087 | I: 0.043 | T: 2.390 || ETA: 0:24:10 || timer: 0.410
[  0]     430 || B: 0.479 | C: 1.341 | M: 0.412 | S: 0.085 | I: 0.040 | T: 2.357 || ETA: 0:24:06 || timer: 0.405
[  0]     440 || B: 0.475 | C: 1.323 | M: 0.399 | S: 0.083 | I: 0.040 | T: 2.320 || ETA: 0:24:02 || timer: 0.405
[  0]     450 || B: 0.527 | C: 1.338 | M: 0.391 | S: 0.081 | I: 0.043 | T: 2.379 || ETA: 0:23:58 || timer: 0.406
[  0]     460 || B: 0.524 | C: 1.336 | M: 0.386 | S: 0.084 | I: 0.041 | T: 2.371 || ETA: 0:23:54 || timer: 0.408
[  0]     470 || B: 0.522 | C: 1.338 | M: 0.388 | S: 0.083 | I: 0.041 | T: 2.371 || ETA: 0:23:50 || timer: 0.409
[  0]     480 || B: 0.510 | C: 1.330 | M: 0.387 | S: 0.082 | I: 0.041 | T: 2.351 || ETA: 0:23:46 || timer: 0.404
[  0]     490 || B: 0.503 | C: 1.313 | M: 0.374 | S: 0.085 | I: 0.041 | T: 2.317 || ETA: 0:23:42 || timer: 0.404
[  0]     500 || B: 0.498 | C: 1.298 | M: 0.375 | S: 0.086 | I: 0.041 | T: 2.298 || ETA: 0:23:39 || timer: 0.405
[  0]     510 || B: 0.487 | C: 1.284 | M: 0.382 | S: 0.083 | I: 0.040 | T: 2.277 || ETA: 0:23:35 || timer: 0.406
[  0]     520 || B: 0.486 | C: 1.275 | M: 0.372 | S: 0.083 | I: 0.037 | T: 2.253 || ETA: 0:23:31 || timer: 0.407
[  0]     530 || B: 0.474 | C: 1.252 | M: 0.355 | S: 0.081 | I: 0.037 | T: 2.199 || ETA: 0:23:27 || timer: 0.411
[  0]     540 || B: 0.472 | C: 1.239 | M: 0.358 | S: 0.079 | I: 0.034 | T: 2.182 || ETA: 0:23:23 || timer: 0.409
[  0]     550 || B: 0.410 | C: 1.204 | M: 0.362 | S: 0.078 | I: 0.032 | T: 2.086 || ETA: 0:23:19 || timer: 0.408
[  0]     560 || B: 0.394 | C: 1.169 | M: 0.354 | S: 0.076 | I: 0.032 | T: 2.026 || ETA: 0:23:15 || timer: 0.410
[  0]     570 || B: 0.376 | C: 1.137 | M: 0.344 | S: 0.076 | I: 0.031 | T: 1.965 || ETA: 0:23:11 || timer: 0.409
